Price,Close,High,Low,Open,Volume,Log_Returns,Normalized_Log_Returns
Ticker,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,,
Datetime,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,0.0,
2025-07-02 09:00:00+00:00,8814.3095703125,8814.8203125,8796.7900390625,8804.5498046875,0,0.0010976730480202152,0.5725898571503807
2025-07-02 10:00:00+00:00,8805.599609375,8814.8896484375,8804.5400390625,8814.48046875,0,-0.0009886500047330724,-0.7152322874351359
2025-07-02 11:00:00+00:00,8794.599609375,8805.990234375,8791.2998046875,8805.4697265625,0,-0.001249986013856182,-0.8285695635037695
2025-07-02 12:00:00+00:00,8753.759765625,8794.6904296875,8742.7099609375,8794.6904296875,0,-0.004654556771927665,-2.4458755101321
2025-07-02 13:00:00+00:00,8746.5302734375,8769.3203125,8738.990234375,8753.7900390625,0,-0.0008262140321810307,-0.34046465731241454
2025-07-02 14:00:00+00:00,8766.8203125,8771.73046875,8745.400390625,8746.4296875,0,0.0023170949546082484,1.2965019638111863
2025-07-02 15:00:00+00:00,8774.0498046875,8778.259765625,8765.7197265625,8766.9599609375,0,0.000824302619944775,0.43341299640755443
2025-07-03 07:00:00+00:00,8817.9599609375,8820.2099609375,8774.6904296875,8774.6904296875,0,0.004992067196916838,2.2267374550319565
2025-07-03 08:00:00+00:00,8810.1201171875,8820.2802734375,8809.669921875,8818.1103515625,0,-0.0008894722774274029,-0.5161562849335967
2025-07-03 09:00:00+00:00,8806.1396484375,8821.169921875,8803.419921875,8810.1796875,0,-0.0004519085061981799,-0.28632114807299824
2025-07-03 10:00:00+00:00,8809.3095703125,8809.3095703125,8800.6298828125,8806.259765625,0,0.0003599024776323246,0.025096371954337147
2025-07-03 11:00:00+00:00,8820.75,8820.8095703125,8807.5703125,8809.349609375,0,0.0012978324035377582,0.41682374610865014
2025-07-03 12:00:00+00:00,8823.23046875,8837.75,8810.0498046875,8820.6298828125,0,0.0002811688406404209,-0.13546871121284182
2025-07-03 13:00:00+00:00,8817.4296875,8827.48046875,8807.4404296875,8823.26953125,0,-0.0006576603605192278,-0.5628640543901262
2025-07-03 14:00:00+00:00,8816.76953125,8820.990234375,8805.259765625,8817.4697265625,0,-7.487226860932155e-05,-0.2787836242758268
2025-07-03 15:00:00+00:00,8817.4599609375,8822.830078125,8814.4501953125,8816.6904296875,0,7.8305625789749e-05,-0.1291973367868382
2025-07-04 07:00:00+00:00,8798.4697265625,8823.2001953125,8791.3603515625,8823.2001953125,0,-0.0021560306005042646,-1.2019546082177577
2025-07-04 08:00:00+00:00,8787.009765625,8802.01953125,8782.0595703125,8798.5400390625,0,-0.0013033437689144037,-0.6800870322255816
2025-07-04 09:00:00+00:00,8797.080078125,8800.0498046875,8785.3203125,8787.08984375,0,0.0011453892342945982,0.5996729388331915
2025-07-04 10:00:00+00:00,8788.240234375,8797.6201171875,8786.4501953125,8797.0703125,0,-0.0010053663325424568,-0.4790321832480267
2025-07-04 11:00:00+00:00,8802.4697265625,8802.990234375,8788.1201171875,8788.240234375,0,0.0016178420680919893,0.8754798738985868
2025-07-04 12:00:00+00:00,8803.3701171875,8805.4501953125,8798.7001953125,8802.400390625,0,0.0001022831780564395,0.060096933431270226
