Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
datetime,,,,,
2024-09-11 05:30:00+00:00,17108.7109375,17124.9609375,16973.900390625,16975.619140625,0
2024-09-12 01:30:00+00:00,17312.869140625,17334.189453125,17127.25,17177.30078125,0
2024-09-12 05:30:00+00:00,17240.390625,17322.390625,17233.58984375,17310.919921875,0
2024-09-13 01:30:00+00:00,17419.349609375,17540.810546875,17298.349609375,17298.349609375,0
2024-09-13 05:30:00+00:00,17369.08984375,17436.66015625,17357.890625,17409.80078125,0
2024-09-16 01:30:00+00:00,17367.220703125,17379.05078125,17177.080078125,17252.76953125,0
2024-09-16 05:30:00+00:00,17422.119140625,17422.119140625,17352.119140625,17366.810546875,0
2024-09-17 01:30:00+00:00,17704.369140625,17715.76953125,17368.140625,17386.75,0
2024-09-17 05:30:00+00:00,17660.01953125,17707.2890625,17620.890625,17704.44921875,0
2024-09-19 01:30:00+00:00,17962.41015625,18037.16015625,17602.44921875,17633.9296875,0
2024-09-19 05:30:00+00:00,18013.16015625,18071.099609375,17962.369140625,17964.509765625,0
2024-09-20 01:30:00+00:00,18215.599609375,18355.150390625,18047.130859375,18069.330078125,0
2024-09-20 05:30:00+00:00,18258.5703125,18258.5703125,18156.55078125,18224.23046875,0
2024-09-23 01:30:00+00:00,18316.30078125,18426.919921875,18227.919921875,18237.41015625,0
2024-09-23 05:30:00+00:00,18247.109375,18325.05078125,18212.580078125,18317.130859375,0
2024-09-24 01:30:00+00:00,18893.189453125,18972.880859375,18532.279296875,18573.919921875,0
2024-09-24 05:30:00+00:00,19000.560546875,19002.05078125,18876.2890625,18895.2109375,0
2024-09-25 01:30:00+00:00,19301.98046875,19592.4296875,19284.900390625,19592.4296875,0
2024-09-25 05:30:00+00:00,19129.099609375,19328.8203125,19072.720703125,19305.400390625,0
2024-09-26 01:30:00+00:00,19712.9609375,19716.380859375,19176.580078125,19302.5703125,0
2024-09-26 05:30:00+00:00,19924.580078125,19954.060546875,19636.94921875,19719.970703125,0
2024-09-27 01:30:00+00:00,20395.359375,20743.19921875,20268.630859375,20446.740234375,0
2024-09-27 05:30:00+00:00,20632.30078125,20632.30078125,20285.5390625,20389.51953125,0
2024-09-30 01:30:00+00:00,21355.529296875,21393.26953125,20789.9296875,21175.41015625,0
2024-09-30 05:30:00+00:00,21133.6796875,21488.75,21022.810546875,21354.33984375,0
2024-10-02 01:30:00+00:00,22490.259765625,22667.740234375,21289.599609375,21289.599609375,0
2024-10-02 05:30:00+00:00,22443.73046875,22541.080078125,21957.98046875,22493.44921875,0
2024-10-03 01:30:00+00:00,22057.810546875,22484.0390625,21442.25,22484.0390625,0
2024-10-03 05:30:00+00:00,22113.509765625,22442.919921875,22015.5,22061.48046875,0
2024-10-04 01:30:00+00:00,22608.150390625,22654.9296875,21824.6796875,22015.080078125,0
2024-10-04 05:30:00+00:00,22736.869140625,22742.359375,22421.439453125,22618.259765625,0
2024-10-07 01:30:00+00:00,23013.16015625,23241.740234375,22719.91015625,22948.349609375,0
2024-10-07 05:30:00+00:00,23099.779296875,23135.419921875,22950.759765625,23020.859375,0
2024-10-08 01:30:00+00:00,21525.26953125,22902.359375,20762.8203125,22849.23046875,0
2024-10-08 05:30:00+00:00,20926.7890625,21584.380859375,20891.98046875,21513.83984375,0
2024-10-09 01:30:00+00:00,21083.880859375,21417.75,20190.529296875,21290.0390625,0
2024-10-09 05:30:00+00:00,20637.240234375,21347.490234375,20510.509765625,21079.470703125,0
2024-10-10 01:30:00+00:00,21476.470703125,21622.650390625,20983.939453125,21046.0,0
2024-10-10 05:30:00+00:00,21251.98046875,21497.880859375,21147.080078125,21468.1796875,0
2024-10-14 01:30:00+00:00,21331.58984375,21347.279296875,20693.75,21228.650390625,0
2024-10-14 05:30:00+00:00,21092.869140625,21348.859375,21033.380859375,21329.419921875,0
2024-10-15 01:30:00+00:00,20587.099609375,21095.009765625,20587.099609375,21046.189453125,0
2024-10-15 05:30:00+00:00,20318.7890625,20636.609375,20154.7109375,20585.310546875,0
